,Test,Results
,dsEnableLEConfig_pos       ,PASS
,dsEnableLEConfig_neg       ,FAIL
,dsGetLEConfig_pos          ,PASS
,dsGetLEConfig_neg          ,FAIL
,dsSetMS12AudioProf_pos     ,PASS
,dsSetMS12AudioProf_neg     ,FAIL
,dsSetAudioMute_pos         ,FAIL
,dsSetAudioMute_neg         ,PASS
,dsIsAudioMSDecode_pos      ,PASS
,dsIsAudioMSDecode_neg      ,PASS
,dsIsAudioMS12Decode_pos    ,FAIL
,dsIsAudioMS12Decode_neg    ,PASS
,dsAudioOutIsConn_pos       ,FAIL
,dsAudioOutIsConn_neg       ,FAIL
,dsAudioOutRegConnCB_pos    ,FAIL
,dsAudioOutRegConnCB_neg    ,FAIL
,dsAudioFmtUpdateRegCB_pos  ,FAIL
,dsAudioFmtUpdateRegCB_neg  ,PASS
,dsGetAudioCaps_pos         ,FAIL
,dsGetAudioCaps_neg         ,PASS
,dsGetMS12Caps_pos          ,FAIL
,dsGetMS12Caps_neg          ,PASS
,dsSetAssocAudioMixing_pos  ,FAIL
,dsSetAssocAudioMixing_neg  ,PASS
,dsGetAssocAudioMixing_pos  ,FAIL
,dsGetAssocAudioMixing_neg  ,PASS
,dsSetFaderControl_pos      ,FAIL
,dsSetFaderControl_neg      ,PASS
,dsGetFaderControl_pos      ,FAIL
,dsGetFaderControl_neg      ,PASS
,dsSetPrimaryLang_pos       ,FAIL
,dsSetPrimaryLang_neg       ,FAIL
,dsGetPrimaryLang_pos       ,FAIL
,dsGetPrimaryLang_neg       ,PASS
,dsSetSecondaryLang_pos     ,FAIL
,dsSetSecondaryLang_neg     ,FAIL
,dsGetSecondaryLang_pos     ,FAIL
,dsGetSecondaryLang_neg     ,PASS
,dsSetAudioMixLevels_pos    ,PASS
,dsSetAudioMixLevels_neg    ,FAIL
,dsAudioAtmosCapsRegCB_pos  ,FAIL
,dsAudioAtmosCapsRegCB_neg  ,PASS
,dsGetSupportedARCTypes_pos ,PASS
,dsGetSupportedARCTypes_neg ,FAIL
,dsAudioSetSAD_pos          ,PASS
,dsAudioSetSAD_neg          ,FAIL
,dsAudioEnableARC_pos          ,PASS
L2 DS Source AudioSetting,EnableDisableVerifyPortStatus,FAIL
,GetAndVerifyMS12Capabilities ,FAIL
,SetAndGetAudioCompression    ,FAIL
,SetAndGetDialogEnhancement   ,FAIL
,SetAndGetDolbyVolumeMode     ,FAIL
,SetAndGetIntelligentEqualizerMode,FAIL
,SetAndGetVolumeLeveller          ,PASS
,SetAndGetBassEnhancer            ,FAIL
,EnableAndVerifySurroundDecoder   ,PASS
,SetAndGetDRCMode                 ,PASS
,SetAndGetSurroundVirtualizer     ,FAIL
,SetAndGetMISteering              ,PASS
,SetAndGetGraphicEqualizerMode    ,PASS
,EnableDisableAndRetrieveLEConfig ,PASS
